Name,2023-10-20,2023-10-11
220001001,1,0
220001002,1,0
220001003,1,1
220001004,1,0
220001005,0,0
220001006,0,1
220001007,1,1
220001008,1,0
220001009,1,0
220001010,1,0
220001011,1,1
220001012,0,0
220001013,1,0
220001014,1,0
220001015,1,1
220001016,0,0
220001017,1,1
220001018,1,0
220001019,0,0
220001020,1,0
220001021,1,0
220001022,1,0
220001023,1,1
220001024,1,1
220001025,1,1
220001026,1,0
220001027,1,0
220001028,1,1
220001029,0,0
220001030,0,0
220001031,0,1
220001032,1,1
220001033,0,0
220001034,1,0
220001035,1,1
220001036,1,0
220001037,1,0
220001038,1,0
220001039,1,1
220001040,1,1
220001041,1,1
220001042,0,0
220001043,1,1
220001044,1,1
220001045,1,1
220001046,0,0
220001047,0,0
220001048,0,0
220001049,1,1
220001050,0,0
220001051,0,0
220001052,0,0
220001053,1,1
220001054,1,0
220001055,0,0
220001056,1,0
220001057,1,0
220001058,1,1
220001059,0,0
220001060,0,0
220001061,1,0
220001062,0,0
220001063,1,0
220001064,1,0
220001065,1,1
220001066,1,0
220001067,1,0
220001068,1,0
220001069,1,0
220001070,1,1
220001071,1,1
220001072,0,0
220001073,1,1
220001074,1,0
220001075,1,0
220001076,1,0
220001077,1,0
220001078,1,0
220001079,1,1
220001080,1,0
220001081,1,1
220001082,1,1
220001083,1,0
220001084,1,0
220001085,1,1
220001086,1,1
